X(mm),Y(mm),XC(mm),YC(mm)
100,0.021,0,0
95.027,0.785,0.336,0.5355
90.052,1.551,0.567,0.66
85.074,2.301,1.041,0.313732
80.076,3.037,2.257,0.452432
75.063,3.702,4.727,0.692858
70.054,4.31,7.218,0.89252
65.042,4.852,9.718,1.068968
60.028,5.323,14.735,1.369985
55.012,5.714,19.765,1.606138
49.994,6.014,24.8,1.797009
44.975,6.208,29.84,1.946097
39.955,6.274,34.882,2.058956
34.935,6.192,39.924,2.139535
29.917,5.984,44.964,2.18811
24.9,5.656,50,2.2015
19.885,5.2,55.031,2.192911
14.874,4.592,60.057,2.147481
9.868,3.792,65.076,2.058135
7.369,3.288,70.087,1.952721
4.874,2.685,75.089,1.798109
2.387,1.895,80.084,1.5984
1.153,1.342,85.07,1.349555
0.665,1.044,90.049,1.03401
0.424,0.856,95.023,0.603989
0,0,100,0
0.576,-0.744,,
0.835,-0.886,,
1.347,-1.1,,
2.613,-1.473,,
5.126,-1.963,,
7.631,-2.316,,
10.132,-2.6,,
15.126,-3.03,,
20.115,-3.34,,
25.1,-3.554,,
30.083,-3.688,,
35.065,-3.744,,
40.045,-3.716,,
45.025,-3.58,,
50.006,-3.354,,
54.988,-3.062,,
59.972,-2.719,,
64.958,-2.342,,
69.946,-1.944,,
74.937,-1.542,,
79.924,-1.167,,
84.926,-0.859,,
89.948,-0.571,,
94.974,-0.295,,
100,-0.021,,
